"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: randomSourceName","Param: theta"
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,15968.561474,145.471516,"us/op",SPLIT_MIX_64,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18956.301074,95.872187,"us/op",KISS,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17140.527164,152.303565,"us/op",KISS,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,20255.110857,651.841608,"us/op",WELL_1024_A,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,20219.226730,690.265984,"us/op",WELL_1024_A,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,23778.597989,948.894648,"us/op",WELL_44497_B,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,23462.781333,918.337165,"us/op",WELL_44497_B,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18106.272481,136.307499,"us/op",SPLIT_MIX_64,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16578.941137,114.639494,"us/op",SPLIT_MIX_64,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19169.732529,281.895694,"us/op",KISS,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19153.075328,224.089778,"us/op",KISS,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,21543.233538,918.864794,"us/op",WELL_1024_A,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,21508.335854,847.731180,"us/op",WELL_1024_A,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,23108.407150,901.812597,"us/op",WELL_44497_B,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,23144.799655,1085.929099,"us/op",WELL_44497_B,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17250.010708,134.289058,"us/op",SPLIT_MIX_64,2.456
