"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: mean","Param: randomSourceName"
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_LargeMeanPoissonSampler","avgt",1,50,70560.691875,2065.517559,"us/op",40.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_LargeMeanPoissonSampler","avgt",1,50,60613.927654,1090.998652,"us/op",40.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_LargeMeanPoissonSampler","avgt",1,50,69604.169967,1964.183012,"us/op",60.9,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_LargeMeanPoissonSampler","avgt",1,50,70350.231952,2505.209978,"us/op",60.9,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_LargeMeanPoissonSampler","avgt",1,50,60098.665572,63.425176,"us/op",60.9,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_LargeMeanPoissonSampler","avgt",1,50,67519.775693,1983.080426,"us/op",142.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_LargeMeanPoissonSampler","avgt",1,50,68031.187494,2037.516347,"us/op",142.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_LargeMeanPoissonSampler","avgt",1,50,59442.648705,1387.080885,"us/op",142.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_PoissonSampler","avgt",1,50,134550.695585,101.290394,"us/op",40.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_PoissonSampler","avgt",1,50,139449.375548,5519.533646,"us/op",40.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_PoissonSampler","avgt",1,50,121846.260091,1561.824937,"us/op",40.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_PoissonSampler","avgt",1,50,175322.633717,905.459646,"us/op",60.9,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_PoissonSampler","avgt",1,50,175053.455473,72.048559,"us/op",60.9,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_PoissonSampler","avgt",1,50,164735.564862,5471.486689,"us/op",60.9,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_PoissonSampler","avgt",1,50,215965.460068,77.550276,"us/op",142.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_PoissonSampler","avgt",1,50,216797.725696,4644.731223,"us/op",142.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_PoissonSampler","avgt",1,50,214986.470090,10071.944379,"us/op",142.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_WrapperPoissonSampler","avgt",1,50,69265.467842,2404.374919,"us/op",40.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_WrapperPoissonSampler","avgt",1,50,69871.201364,1962.347006,"us/op",40.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_WrapperPoissonSampler","avgt",1,50,60232.057648,24.994624,"us/op",40.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_WrapperPoissonSampler","avgt",1,50,70150.789533,1775.306828,"us/op",60.9,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_WrapperPoissonSampler","avgt",1,50,70521.401500,1761.151280,"us/op",60.9,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_WrapperPoissonSampler","avgt",1,50,59955.353313,30.750872,"us/op",60.9,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_WrapperPoissonSampler","avgt",1,50,68950.743019,2647.583426,"us/op",142.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_WrapperPoissonSampler","avgt",1,50,69325.591733,3139.840601,"us/op",142.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanSingleUse_WrapperPoissonSampler","avgt",1,50,58806.885160,22.235024,"us/op",142.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_PoissonSampler","avgt",1,50,162031.022668,1920.288722,"us/op",5.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_PoissonSampler","avgt",1,50,164534.493911,75.712504,"us/op",5.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_PoissonSampler","avgt",1,50,67964.645656,38.988618,"us/op",5.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_PoissonSampler","avgt",1,50,396180.301730,11678.561330,"us/op",20.1,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_PoissonSampler","avgt",1,50,406110.798613,536.296102,"us/op",20.1,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_PoissonSampler","avgt",1,50,96552.616536,54.867390,"us/op",20.1,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_PoissonSampler","avgt",1,50,644990.606120,1791.311483,"us/op",35.7,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_PoissonSampler","avgt",1,50,665592.730740,1002.107569,"us/op",35.7,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_PoissonSampler","avgt",1,50,132978.785953,200.360832,"us/op",35.7,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_SmallMeanPoissonSampler","avgt",1,50,118784.313624,48.814313,"us/op",5.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_SmallMeanPoissonSampler","avgt",1,50,120880.712058,150.739609,"us/op",5.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_SmallMeanPoissonSampler","avgt",1,50,28353.310461,15.742840,"us/op",5.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_SmallMeanPoissonSampler","avgt",1,50,350097.555407,2798.682696,"us/op",20.1,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_SmallMeanPoissonSampler","avgt",1,50,361152.145300,895.710264,"us/op",20.1,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_SmallMeanPoissonSampler","avgt",1,50,61091.853798,38.794777,"us/op",20.1,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_SmallMeanPoissonSampler","avgt",1,50,600876.590800,2497.452044,"us/op",35.7,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runSmallMeanRepeatUse_SmallMeanPoissonSampler","avgt",1,50,615506.463740,273.073040,"us/op",35.7,WELL_44497_B
